bin start	sense overlap	antisense overlap	total overlap
-1999	86620	6099	92719
-1899	54910	36451	91361
-1799	162660	3493	166153
-1699	154747	104308	259055
-1599	128020	10686	138706
-1499	41869	115519	157388
-1399	126313	48091	174404
-1299	186707	52776	239483
-1199	134710	80974	215684
-1099	166179	64259	230438
-999	145817	26655	172472
-899	125	55488	55613
-799	105745	48232	153977
-699	118694	120	118814
-599	62524	34270	96794
-499	82273	74	82347
-399	156212	31776	187988
-299	141116	43972	185088
-199	66011	92	66103
-99	208646	96	208742
1	8862	49	8911
101	234541	552	235093
201	34274	200	34474
301	213616	106864	320480
401	93422	40666	134088
501	332663	71102	403765
601	64230	22779	87009
701	186910	32866	219776
801	189125	2273	191398
901	95661	75127	170788
1001	43083	24507	67590
1101	249261	89055	338316
1201	153232	142698	295930
1301	25359	16575	41934
1401	236	5062	5298
1501	12167	193957	206124
1601	436	85077	85513
1701	100249	94338	194587
1801	284774	135171	419945
1901	100579	25913	126492
2001	252368	316	252684
2101	25180	19890	45070
2201	12944	77567	90511
2301	88475	282155	370630
2401	290968	163478	454446
2501	130146	129147	259293
2601	179271	82724	261995
2701	18134	170773	188907
2801	20250	114128	134378
2901	192161	43340	235501
